model_id,encoder_id,method,statistic,estimate,ci_lower,ci_upper,scenario_count,incremental_cost,mean_llm_judge_latency_seconds,total_llm_judge_output_tokens_all_models,human_style_correlation,human_style_mae,human_validation_status
qwen35_4b,multilingual_e5_large_instruct,endpoint_distance_ratio,median_absolute_error,0.1755747253902984,0.17262248518649484,0.1785553592250105,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,endpoint_distance_ratio,spearman,0.5509374999999999,0.5087499999999999,0.5931249999999999,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,endpoint_distance_ratio,pearson,0.5745805180180252,0.5353181313030574,0.6133780469792982,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,endpoint_distance_ratio,calibration_slope,0.09294012064634576,0.08593548185899318,0.10000129152322007,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,endpoint_distance_ratio,calibration_intercept,0.43628882801987556,0.4316146066663583,0.4408385415189031,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,isotonic_grouped_cv,mae,0.19014192693018087,0.18833709433660098,0.19189631779197733,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,isotonic_grouped_cv,median_absolute_error,0.17722016800566395,0.1735239809307676,0.1808454941565564,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,isotonic_grouped_cv,spearman,0.5423275655784712,0.5007478657186153,0.5832773431077357,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,isotonic_grouped_cv,pearson,0.5617217512087492,0.5205386162904522,0.6007743365052669,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,isotonic_grouped_cv,calibration_slope,0.11136140102193534,0.10273294186479306,0.11994104505260898,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,isotonic_grouped_cv,calibration_intercept,0.4439019465479122,0.43834002525240173,0.44949021546193224,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,length_only_grouped_cv,mae,0.20136201355169017,0.20084413236921383,0.2019300493238085,320,deterministic local computation,,0,,,external_pending
qwen35_4b,multilingual_e5_large_instruct,length_only_grouped_cv,median_absolute_error,0.1716992981661595,0.17028547554964682,0.17343031826983646,320,deterministic local computation,,0,,,external_pending
